assigned_task,battery,event_type,node,status,target_station,task_load,time,total_distance,total_score,vehicle_id
4,120.0,dispatch,0,moving_to_task,,19.1,0,0.0,0.0,0
4,118.5,step,0,moving_to_task,,19.1,0,1.5,0.0,0
,120.0,step,0,idle,,0.0,0,0.0,0.0,1
,120.0,step,0,idle,,0.0,0,0.0,0.0,2
,120.0,step,0,idle,,0.0,0,0.0,0.0,3
,120.0,step,0,idle,,0.0,0,0.0,0.0,4
4,117.0,step,3,moving_to_task,,19.1,1,3.0,0.0,0
,120.0,step,0,idle,,0.0,1,0.0,0.0,1
,120.0,step,0,idle,,0.0,1,0.0,0.0,2
,120.0,step,0,idle,,0.0,1,0.0,0.0,3
,120.0,step,0,idle,,0.0,1,0.0,0.0,4
4,115.5,step,3,moving_to_task,,19.1,2,4.5,0.0,0
,120.0,step,0,idle,,0.0,2,0.0,0.0,1
,120.0,step,0,idle,,0.0,2,0.0,0.0,2
,120.0,step,0,idle,,0.0,2,0.0,0.0,3
,120.0,step,0,idle,,0.0,2,0.0,0.0,4
4,114.0,step,3,moving_to_task,,19.1,3,6.0,0.0,0
,120.0,step,0,idle,,0.0,3,0.0,0.0,1
,120.0,step,0,idle,,0.0,3,0.0,0.0,2
,120.0,step,0,idle,,0.0,3,0.0,0.0,3
,120.0,step,0,idle,,0.0,3,0.0,0.0,4
4,112.5,step,3,moving_to_task,,19.1,4,7.5,0.0,0
,120.0,step,0,idle,,0.0,4,0.0,0.0,1
,120.0,step,0,idle,,0.0,4,0.0,0.0,2
,120.0,step,0,idle,,0.0,4,0.0,0.0,3
,120.0,step,0,idle,,0.0,4,0.0,0.0,4
4,111.0,step,3,moving_to_task,,19.1,5,9.0,0.0,0
,120.0,step,0,idle,,0.0,5,0.0,0.0,1
,120.0,step,0,idle,,0.0,5,0.0,0.0,2
,120.0,step,0,idle,,0.0,5,0.0,0.0,3
,120.0,step,0,idle,,0.0,5,0.0,0.0,4
4,109.5,step,3,moving_to_task,,19.1,6,10.5,0.0,0
,120.0,step,0,idle,,0.0,6,0.0,0.0,1
,120.0,step,0,idle,,0.0,6,0.0,0.0,2
,120.0,step,0,idle,,0.0,6,0.0,0.0,3
,120.0,step,0,idle,,0.0,6,0.0,0.0,4
,109.4547,task_finish,15,moving_to_task,,0.0,7,10.5453,92.4599,0
,109.4547,move_to_depot,15,moving_to_depot,,0.0,7,10.5453,92.4599,0
,109.4547,step,15,moving_to_depot,,0.0,7,10.5453,92.4599,0
,120.0,step,0,idle,,0.0,7,0.0,0.0,1
,120.0,step,0,idle,,0.0,7,0.0,0.0,2
,120.0,step,0,idle,,0.0,7,0.0,0.0,3
,120.0,step,0,idle,,0.0,7,0.0,0.0,4
23,120.0,dispatch,0,moving_to_task,,1.75,8,0.0,0.0,1
,107.9547,step,15,moving_to_depot,,0.0,8,12.0453,92.4599,0
23,118.5,step,0,moving_to_task,,1.75,8,1.5,0.0,1
,120.0,step,0,idle,,0.0,8,0.0,0.0,2
,120.0,step,0,idle,,0.0,8,0.0,0.0,3
,120.0,step,0,idle,,0.0,8,0.0,0.0,4
,106.4547,step,15,moving_to_depot,,0.0,9,13.5453,92.4599,0
23,117.0,step,0,moving_to_task,,1.75,9,3.0,0.0,1
,120.0,step,0,idle,,0.0,9,0.0,0.0,2
,120.0,step,0,idle,,0.0,9,0.0,0.0,3
,120.0,step,0,idle,,0.0,9,0.0,0.0,4
,104.9547,step,15,moving_to_depot,,0.0,10,15.0453,92.4599,0
23,115.5,step,0,moving_to_task,,1.75,10,4.5,0.0,1
,120.0,step,0,idle,,0.0,10,0.0,0.0,2
,120.0,step,0,idle,,0.0,10,0.0,0.0,3
,120.0,step,0,idle,,0.0,10,0.0,0.0,4
,103.4547,step,15,moving_to_depot,,0.0,11,16.5453,92.4599,0
23,114.0,step,0,moving_to_task,,1.75,11,6.0,0.0,1
,120.0,step,0,idle,,0.0,11,0.0,0.0,2
,120.0,step,0,idle,,0.0,11,0.0,0.0,3
,120.0,step,0,idle,,0.0,11,0.0,0.0,4
,101.9547,step,15,moving_to_depot,,0.0,12,18.0453,92.4599,0
23,112.5,step,18,moving_to_task,,1.75,12,7.5,0.0,1
,120.0,step,0,idle,,0.0,12,0.0,0.0,2
,120.0,step,0,idle,,0.0,12,0.0,0.0,3
,120.0,step,0,idle,,0.0,12,0.0,0.0,4
,100.4547,step,3,moving_to_depot,,0.0,13,19.5453,92.4599,0
23,111.0,step,18,moving_to_task,,1.75,13,9.0,0.0,1
,120.0,step,0,idle,,0.0,13,0.0,0.0,2
,120.0,step,0,idle,,0.0,13,0.0,0.0,3
,120.0,step,0,idle,,0.0,13,0.0,0.0,4
,98.9547,step,3,moving_to_depot,,0.0,14,21.0453,92.4599,0
23,109.5,step,18,moving_to_task,,1.75,14,10.5,0.0,1
,120.0,step,0,idle,,0.0,14,0.0,0.0,2
,120.0,step,0,idle,,0.0,14,0.0,0.0,3
,120.0,step,0,idle,,0.0,14,0.0,0.0,4
6,120.0,dispatch,0,moving_to_task,,24.75,15,0.0,0.0,2
9,120.0,dispatch,0,moving_to_task,,27.54,15,0.0,0.0,3
,98.9093,reach_depot,0,idle,,0.0,15,21.0907,92.4599,0
,98.9093,step,0,idle,,0.0,15,21.0907,92.4599,0
23,108.0,step,18,moving_to_task,,1.75,15,12.0,0.0,1
6,118.5,step,0,moving_to_task,,24.75,15,1.5,0.0,2
9,118.5,step,0,moving_to_task,,27.54,15,1.5,0.0,3
,120.0,step,0,idle,,0.0,15,0.0,0.0,4
,117.3679,task_finish,3,moving_to_task,,0.0,16,2.6321,98.118,2
,117.3679,move_to_depot,3,moving_to_depot,,0.0,16,2.6321,98.118,2
,98.9093,step,0,idle,,0.0,16,21.0907,92.4599,0
23,106.5,step,18,moving_to_task,,1.75,16,13.5,0.0,1
,117.3679,step,3,moving_to_depot,,0.0,16,2.6321,98.118,2
9,117.0,step,0,moving_to_task,,27.54,16,3.0,0.0,3
,120.0,step,0,idle,,0.0,16,0.0,0.0,4
,105.1977,task_finish,22,moving_to_task,,0.0,17,14.8023,89.4161,1
,105.1977,move_to_depot,22,moving_to_depot,,0.0,17,14.8023,89.4161,1
,98.9093,step,0,idle,,0.0,17,21.0907,92.4599,0
,105.1977,step,22,moving_to_depot,,0.0,17,14.8023,89.4161,1
,115.8679,step,3,moving_to_depot,,0.0,17,4.1321,98.118,2
9,115.5,step,0,moving_to_task,,27.54,17,4.5,0.0,3
,120.0,step,0,idle,,0.0,17,0.0,0.0,4
,114.7358,reach_depot,0,idle,,0.0,18,5.2642,98.118,2
,115.1265,task_finish,17,moving_to_task,,0.0,18,4.8735,96.5154,3
,115.1265,move_to_depot,17,moving_to_depot,,0.0,18,4.8735,96.5154,3
,98.9093,step,0,idle,,0.0,18,21.0907,92.4599,0
,103.6977,step,22,moving_to_depot,,0.0,18,16.3023,89.4161,1
,114.7358,step,0,idle,,0.0,18,5.2642,98.118,2
,115.1265,step,17,moving_to_depot,,0.0,18,4.8735,96.5154,3
,120.0,step,0,idle,,0.0,18,0.0,0.0,4
,98.9093,step,0,idle,,0.0,19,21.0907,92.4599,0
,102.1977,step,22,moving_to_depot,,0.0,19,17.8023,89.4161,1
,114.7358,step,0,idle,,0.0,19,5.2642,98.118,2
,113.6265,step,17,moving_to_depot,,0.0,19,6.3735,96.5154,3
,120.0,step,0,idle,,0.0,19,0.0,0.0,4
,98.9093,step,0,idle,,0.0,20,21.0907,92.4599,0
,100.6977,step,22,moving_to_depot,,0.0,20,19.3023,89.4161,1
,114.7358,step,0,idle,,0.0,20,5.2642,98.118,2
,112.1265,step,17,moving_to_depot,,0.0,20,7.8735,96.5154,3
,120.0,step,0,idle,,0.0,20,0.0,0.0,4
,98.9093,step,0,idle,,0.0,21,21.0907,92.4599,0
,99.1977,step,22,moving_to_depot,,0.0,21,20.8023,89.4161,1
,114.7358,step,0,idle,,0.0,21,5.2642,98.118,2
,110.6265,step,17,moving_to_depot,,0.0,21,9.3735,96.5154,3
