assigned_time,assigned_vehicle,assigned_vehicles,collaborative,complete_time,deadline,delivered_weight,event_type,origin_node,release_time,remaining_weight,service_distance,service_duration,status,task_id,time,weight
,,{},False,,51,0.0,released,55,3,11.63,0.0,0,pending,64,3,11.63
3,0,{0: 11.63},False,,51,0.0,assigned,55,3,11.63,0.0,0,assigned,64,3,11.63
,,{},False,,63,0.0,released,28,14,24.85,0.0,0,pending,21,14,24.85
,,{},False,,82,0.0,released,2,14,1.11,0.0,0,pending,42,14,1.11
,,{},False,,84,0.0,released,2,14,25.5,0.0,0,pending,99,14,25.5
14,1,{1: 25.5},False,,84,0.0,assigned,2,14,25.5,0.0,0,assigned,99,14,25.5
14,2,{2: 24.85},False,,63,0.0,assigned,28,14,24.85,0.0,0,assigned,21,14,24.85
14,3,{3: 1.11},False,,82,0.0,assigned,2,14,1.11,0.0,0,assigned,42,14,1.11
,,{},False,,74,0.0,released,44,16,1.75,0.0,0,pending,22,16,1.75
,,{},False,,94,0.0,released,51,16,20.09,0.0,0,pending,80,16,20.09
16,4,{4: 20.09},False,,94,0.0,assigned,51,16,20.09,0.0,0,assigned,80,16,20.09
16,5,{5: 1.75},False,,74,0.0,assigned,44,16,1.75,0.0,0,assigned,22,16,1.75
16,4,{},False,20,94,20.09,completed,51,16,0.0,6.8281,4,completed,80,20,20.09
3,0,{},False,22,51,11.63,completed,55,3,0.0,28.6908,19,completed,64,22,11.63
,,{},False,,65,0.0,released,56,23,10.57,0.0,0,pending,39,23,10.57
23,6,{6: 10.57},False,,65,0.0,assigned,56,23,10.57,0.0,0,assigned,39,23,10.57
,,{},False,,83,0.0,released,14,26,14.32,0.0,0,pending,27,26,14.32
,,{},False,,57,0.0,released,44,26,17.06,0.0,0,pending,72,26,17.06
26,4,{4: 17.06},False,,57,0.0,assigned,44,26,17.06,0.0,0,assigned,72,26,17.06
26,7,{7: 14.32},False,,83,0.0,assigned,14,26,14.32,0.0,0,assigned,27,26,14.32
,,{},False,,107,0.0,released,56,27,25.23,0.0,0,pending,86,27,25.23
27,8,{8: 25.23},False,,107,0.0,assigned,56,27,25.23,0.0,0,assigned,86,27,25.23
14,1,{},False,28,84,25.5,completed,2,14,0.0,21.28,14,completed,99,28,25.5
14,3,{},False,28,82,1.11,completed,2,14,0.0,21.28,14,completed,42,28,1.11
,,{},False,,96,0.0,released,30,29,18.23,0.0,0,pending,62,29,18.23
29,9,{9: 18.23},False,,96,0.0,assigned,30,29,18.23,0.0,0,assigned,62,29,18.23
,,{},False,,90,0.0,released,47,30,17.54,0.0,0,pending,45,30,17.54
,,{},False,,108,0.0,released,33,31,27.54,0.0,0,pending,8,31,27.54
14,2,{},False,31,63,24.85,completed,28,14,0.0,25.6979,17,completed,21,31,24.85
16,5,{},False,33,74,1.75,completed,44,16,0.0,25.5934,17,completed,22,33,1.75
,,{},False,,88,0.0,released,51,37,16.51,0.0,0,pending,51,37,16.51
,,{},False,,95,0.0,released,22,38,20.92,0.0,0,pending,6,38,20.92
23,6,{},False,38,65,10.57,completed,56,23,0.0,22.6461,15,completed,39,38,10.57
,,{},False,,108,0.0,released,28,39,8.94,0.0,0,pending,25,39,8.94
,,{},False,,79,0.0,released,43,42,29.31,0.0,0,pending,16,42,29.31
26,7,{},False,42,83,14.32,completed,14,26,0.0,25.1234,16,completed,27,42,14.32
27,8,{},False,42,107,25.23,completed,56,27,0.0,22.6461,15,completed,86,42,25.23
43,0,{0: 29.31},False,,79,0.0,assigned,43,42,29.31,0.0,0,assigned,16,43,29.31
26,4,{},False,43,57,17.06,completed,44,26,0.0,25.5934,17,completed,72,43,17.06
29,9,{},False,43,96,18.23,completed,30,29,0.0,21.0617,14,completed,62,43,18.23
44,1,{1: 27.54},False,,108,0.0,assigned,33,31,27.54,0.0,0,assigned,8,44,27.54
44,3,{3: 20.92},False,,95,0.0,assigned,22,38,20.92,0.0,0,assigned,6,44,20.92
,,{},False,,97,0.0,released,38,47,23.89,0.0,0,pending,47,47,23.89
50,2,{2: 23.89},False,,97,0.0,assigned,38,47,23.89,0.0,0,assigned,47,50,23.89
,,{},False,,125,0.0,released,12,52,16.95,0.0,0,pending,24,52,16.95
,,{},False,,100,0.0,released,35,52,20.86,0.0,0,pending,94,52,20.86
52,5,{5: 20.86},False,,100,0.0,assigned,35,52,20.86,0.0,0,assigned,94,52,20.86
43,0,{},False,53,79,29.31,completed,43,42,0.0,15.4002,10,completed,16,53,29.31
55,6,{6: 17.54},False,,90,0.0,assigned,47,30,17.54,0.0,0,assigned,45,55,17.54
59,8,{8: 16.95},False,,125,0.0,assigned,12,52,16.95,0.0,0,assigned,24,59,16.95
59,9,{9: 16.51},False,,88,0.0,assigned,51,37,16.51,0.0,0,assigned,51,59,16.51
,,{},False,,99,0.0,released,33,60,23.74,0.0,0,pending,36,60,23.74
60,7,{7: 23.74},False,,99,0.0,assigned,33,60,23.74,0.0,0,assigned,36,60,23.74
44,1,{},False,61,108,27.54,completed,33,31,0.0,26.5111,17,completed,8,61,27.54
62,4,{4: 8.94},False,,108,0.0,assigned,28,39,8.94,0.0,0,assigned,25,62,8.94
44,3,{},False,62,95,20.92,completed,22,38,0.0,27.0249,18,completed,6,62,20.92
59,9,{},False,63,88,16.51,completed,51,37,0.0,6.8281,4,completed,51,63,16.51
,,{},False,,140,0.0,released,32,64,12.39,0.0,0,pending,96,64,12.39
,,{},False,,127,0.0,released,27,67,26.71,0.0,0,pending,43,67,26.71
50,2,{},False,67,97,23.89,completed,38,47,0.0,26.9958,17,completed,47,67,23.89
55,6,{},False,68,90,17.54,completed,47,30,0.0,20.8713,13,completed,45,68,17.54
69,9,{9: 26.71},False,,127,0.0,assigned,27,67,26.71,0.0,0,assigned,43,69,26.71
52,5,{},False,69,100,20.86,completed,35,52,0.0,25.7587,17,completed,94,69,20.86
,,{},False,,110,0.0,released,31,70,6.81,0.0,0,pending,44,70,6.81
,,{},False,,149,0.0,released,54,70,26.09,0.0,0,pending,88,70,26.09
,,{},False,,140,0.0,released,20,72,3.63,0.0,0,pending,58,72,3.63
,,{},False,,127,0.0,released,22,74,11.66,0.0,0,pending,4,74,11.66
59,8,{},False,74,125,16.95,completed,12,52,0.0,22.7886,15,completed,24,74,16.95
60,7,{},False,77,99,23.74,completed,33,60,0.0,26.5111,17,completed,36,77,23.74
,,{},False,,105,0.0,released,58,79,24.13,0.0,0,pending,50,79,24.13
62,4,{},False,79,108,8.94,completed,28,39,0.0,25.6979,17,completed,25,79,8.94
,,{},False,,152,0.0,released,36,83,26.68,0.0,0,pending,12,83,26.68
83,0,{0: 26.68},False,,152,0.0,assigned,36,83,26.68,0.0,0,assigned,12,83,26.68
69,9,{},False,83,127,26.71,completed,27,67,0.0,22.0098,14,completed,43,83,26.71
83,0,{},False,85,152,26.68,completed,36,83,0.0,3.9623,2,completed,12,85,26.68
,,{},False,,144,0.0,released,26,87,24.66,0.0,0,pending,13,87,24.66
,,{},False,,124,0.0,released,46,87,5.73,0.0,0,pending,91,87,5.73
,,{},False,,128,0.0,released,54,93,23.87,0.0,0,pending,84,93,23.87
,,{},False,,140,0.0,released,51,96,8.85,0.0,0,pending,53,96,8.85
96,1,{1: 8.85},False,,140,0.0,assigned,51,96,8.85,0.0,0,assigned,53,96,8.85
96,1,{},False,100,140,8.85,completed,51,96,0.0,6.8281,4,completed,53,100,8.85
,,{},False,,155,0.0,released,1,102,3.85,0.0,0,pending,95,102,3.85
102,6,{6: 3.85},False,,155,0.0,assigned,1,102,3.85,0.0,0,assigned,95,102,3.85
,,{},False,,172,0.0,released,15,103,13.54,0.0,0,pending,65,103,13.54
