assigned_time,assigned_vehicle,assigned_vehicles,collaborative,complete_time,deadline,delivered_weight,event_type,origin_node,release_time,remaining_weight,service_distance,service_duration,status,task_id,time,weight
,,{},False,,67,0.0,released,14,1,25.23,0.0,0,pending,38,1,25.23
1,0,{0: 25.23},False,,67,0.0,assigned,14,1,25.23,0.0,0,assigned,38,1,25.23
,,{},False,,72,0.0,released,59,2,18.42,0.0,0,pending,49,2,18.42
2,1,{1: 18.42},False,,72,0.0,assigned,59,2,18.42,0.0,0,assigned,49,2,18.42
,,{},False,,79,0.0,released,27,10,8.74,0.0,0,pending,6,10,8.74
10,2,{2: 8.74},False,,79,0.0,assigned,27,10,8.74,0.0,0,assigned,6,10,8.74
,,{},False,,77,0.0,released,28,11,11.56,0.0,0,pending,50,11,11.56
11,3,{3: 11.56},False,,77,0.0,assigned,28,11,11.56,0.0,0,assigned,50,11,11.56
,,{},False,,50,0.0,released,11,13,29.22,0.0,0,pending,26,13,29.22
13,4,{4: 29.22},False,,50,0.0,assigned,11,13,29.22,0.0,0,assigned,26,13,29.22
1,0,{},False,14,67,25.23,completed,14,1,0.0,20.6972,13,completed,38,14,25.23
,,{},False,,81,0.0,released,15,18,23.92,0.0,0,pending,83,18,23.92
18,5,{5: 23.92},False,,81,0.0,assigned,15,18,23.92,0.0,0,assigned,83,18,23.92
10,2,{},False,19,79,8.74,completed,27,10,0.0,14.4722,9,completed,6,19,8.74
2,1,{},False,20,72,18.42,completed,59,2,0.0,27.3973,18,completed,49,20,18.42
,,{},False,,98,0.0,released,2,23,27.39,0.0,0,pending,75,23,27.39
23,6,{6: 27.39},False,,98,0.0,assigned,2,23,27.39,0.0,0,assigned,75,23,27.39
11,3,{},False,24,77,11.56,completed,28,11,0.0,20.4529,13,completed,50,24,11.56
,,{},False,,75,0.0,released,6,29,7.8,0.0,0,pending,10,29,7.8
29,0,{0: 7.8},False,,75,0.0,assigned,6,29,7.8,0.0,0,assigned,10,29,7.8
,,{},False,,95,0.0,released,56,31,1.96,0.0,0,pending,39,31,1.96
31,2,{2: 1.96},False,,95,0.0,assigned,56,31,1.96,0.0,0,assigned,39,31,1.96
,,{},False,,69,0.0,released,9,32,1.49,0.0,0,pending,35,32,1.49
32,7,{7: 1.49},False,,69,0.0,assigned,9,32,1.49,0.0,0,assigned,35,32,1.49
,,{},False,,91,0.0,released,59,33,27.1,0.0,0,pending,85,33,27.1
,,{},False,,64,0.0,released,6,33,16.5,0.0,0,pending,88,33,16.5
33,8,{8: 27.1},False,,91,0.0,assigned,59,33,27.1,0.0,0,assigned,85,33,27.1
33,9,{9: 16.5},False,,64,0.0,assigned,6,33,16.5,0.0,0,assigned,88,33,16.5
18,5,{},False,33,81,23.92,completed,15,18,0.0,22.7869,15,completed,83,33,23.92
,,{},False,,78,0.0,released,3,35,21.79,0.0,0,pending,31,35,21.79
13,4,{},False,36,50,29.22,completed,11,13,0.0,34.6818,23,completed,26,36,29.22
23,6,{},False,38,98,27.39,completed,2,23,0.0,22.7507,15,completed,75,38,27.39
39,3,{3: 21.79},False,,78,0.0,assigned,3,35,21.79,0.0,0,assigned,31,39,21.79
,,{},False,,83,0.0,released,32,41,5.74,0.0,0,pending,66,41,5.74
41,1,{1: 5.74},False,,83,0.0,assigned,32,41,5.74,0.0,0,assigned,66,41,5.74
,,{},False,,121,0.0,released,52,42,4.98,0.0,0,pending,81,42,4.98
,,{},False,,75,0.0,released,9,42,28.01,0.0,0,pending,94,42,28.01
,,{},False,,110,0.0,released,34,43,4.09,0.0,0,pending,32,43,4.09
39,3,{},False,43,78,21.79,completed,3,35,0.0,6.9511,4,completed,31,43,21.79
,,{},False,,108,0.0,released,45,49,21.02,0.0,0,pending,17,49,21.02
49,3,{3: 28.01},False,,75,0.0,assigned,9,42,28.01,0.0,0,assigned,94,49,28.01
50,5,{5: 21.02},False,,108,0.0,assigned,45,49,21.02,0.0,0,assigned,17,50,21.02
29,0,{},False,50,75,7.8,completed,6,29,0.0,32.6038,21,completed,10,50,7.8
41,1,{},False,50,83,5.74,completed,32,41,0.0,13.5565,9,completed,66,50,5.74
31,2,{},False,50,95,1.96,completed,56,31,0.0,28.7086,19,completed,39,50,1.96
32,7,{},False,51,69,1.49,completed,9,32,0.0,28.5817,19,completed,35,51,1.49
33,8,{},False,51,91,27.1,completed,59,33,0.0,27.3973,18,completed,85,51,27.1
,,{},False,,129,0.0,released,6,54,4.24,0.0,0,pending,73,54,4.24
33,9,{},False,54,64,16.5,completed,6,33,0.0,32.6038,21,completed,88,54,16.5
,,{},False,,92,0.0,released,25,55,15.07,0.0,0,pending,60,55,15.07
,,{},False,,83,0.0,released,51,55,2.66,0.0,0,pending,90,55,2.66
55,6,{6: 15.07},False,,92,0.0,assigned,25,55,15.07,0.0,0,assigned,60,55,15.07
61,1,{1: 4.98},False,,121,0.0,assigned,52,42,4.98,0.0,0,assigned,81,61,4.98
55,6,{},False,65,92,15.07,completed,25,55,0.0,15.8713,10,completed,60,65,15.07
50,5,{},False,66,108,21.02,completed,45,49,0.0,24.5396,16,completed,17,66,21.02
49,3,{},False,68,75,28.01,completed,9,42,0.0,28.5817,19,completed,94,68,28.01
71,8,{8: 2.66},False,,83,0.0,assigned,51,55,2.66,0.0,0,assigned,90,71,2.66
