assigned_time,assigned_vehicle,assigned_vehicles,collaborative,complete_time,deadline,delivered_weight,event_type,origin_node,release_time,remaining_weight,service_distance,service_duration,status,task_id,time,weight
,,{},False,,38,0.0,released,59,0,7.08,0.0,0,pending,17,0,7.08
0,0,{0: 7.08},False,,38,0.0,assigned,59,0,7.08,0.0,0,assigned,17,0,7.08
,,{},False,,69,0.0,released,42,2,3.46,0.0,0,pending,11,2,3.46
2,1,{1: 3.46},False,,69,0.0,assigned,42,2,3.46,0.0,0,assigned,11,2,3.46
,,{},False,,52,0.0,released,42,3,16.95,0.0,0,pending,99,3,16.95
3,2,{2: 16.95},False,,52,0.0,assigned,42,3,16.95,0.0,0,assigned,99,3,16.95
,,{},False,,33,0.0,released,32,5,14.48,0.0,0,pending,23,5,14.48
5,3,{3: 14.48},False,,33,0.0,assigned,32,5,14.48,0.0,0,assigned,23,5,14.48
0,0,{},False,8,38,7.08,completed,59,0,0.0,12.4319,8,completed,17,8,7.08
,,{},False,,50,0.0,released,8,11,28.76,0.0,0,pending,68,11,28.76
11,4,{4: 28.76},False,,50,0.0,assigned,8,11,28.76,0.0,0,assigned,68,11,28.76
5,3,{},False,14,33,14.48,completed,32,5,0.0,13.5472,9,completed,23,14,14.48
,,{},False,,95,0.0,released,1,15,15.5,0.0,0,pending,61,15,15.5
,,{},False,,59,0.0,released,31,15,18.44,0.0,0,pending,67,15,18.44
15,5,{5: 15.5},False,,95,0.0,assigned,1,15,15.5,0.0,0,assigned,61,15,15.5
15,6,{6: 18.44},False,,59,0.0,assigned,31,15,18.44,0.0,0,assigned,67,15,18.44
2,1,{},False,16,69,3.46,completed,42,2,0.0,21.8306,14,completed,11,16,3.46
,,{},False,,43,0.0,released,23,17,14.77,0.0,0,pending,53,17,14.77
17,7,{7: 14.77},False,,43,0.0,assigned,23,17,14.77,0.0,0,assigned,53,17,14.77
3,2,{},False,17,52,16.95,completed,42,3,0.0,21.8306,14,completed,99,17,16.95
15,5,{},False,18,95,15.5,completed,1,15,0.0,5.0386,3,completed,61,18,15.5
,,{},False,,84,0.0,released,29,21,29.48,0.0,0,pending,5,21,29.48
21,0,{0: 29.48},False,,84,0.0,assigned,29,21,29.48,0.0,0,assigned,5,21,29.48
,,{},False,,89,0.0,released,7,24,4.34,0.0,0,pending,89,24,4.34
24,5,{5: 4.34},False,,89,0.0,assigned,7,24,4.34,0.0,0,assigned,89,24,4.34
11,4,{},False,25,50,28.76,completed,8,11,0.0,21.8236,14,completed,68,25,28.76
15,6,{},False,25,59,18.44,completed,31,15,0.0,16.189,10,completed,67,25,18.44
,,{},False,,81,0.0,released,46,26,11.89,0.0,0,pending,18,26,11.89
26,3,{3: 11.89},False,,81,0.0,assigned,46,26,11.89,0.0,0,assigned,18,26,11.89
26,3,{},False,27,81,11.89,completed,46,26,0.0,1.9996,1,completed,18,27,11.89
,,{},False,,60,0.0,released,57,32,2.03,0.0,0,pending,7,32,2.03
,,{},False,,74,0.0,released,8,32,24.83,0.0,0,pending,79,32,24.83
32,1,{1: 2.03},False,,60,0.0,assigned,57,32,2.03,0.0,0,assigned,7,32,2.03
32,3,{3: 24.83},False,,74,0.0,assigned,8,32,24.83,0.0,0,assigned,79,32,24.83
32,1,{},False,33,60,2.03,completed,57,32,0.0,2.6462,1,completed,7,33,2.03
17,7,{},False,34,43,14.77,completed,23,17,0.0,26.7491,17,completed,53,34,14.77
,,{},False,,68,0.0,released,36,35,7.62,0.0,0,pending,45,35,7.62
35,2,{2: 7.62},False,,68,0.0,assigned,36,35,7.62,0.0,0,assigned,45,35,7.62
,,{},False,,66,0.0,released,8,36,3.63,0.0,0,pending,63,36,3.63
36,1,{1: 3.63},False,,66,0.0,assigned,8,36,3.63,0.0,0,assigned,63,36,3.63
,,{},False,,79,0.0,released,59,37,7.16,0.0,0,pending,46,37,7.16
37,6,{6: 7.16},False,,79,0.0,assigned,59,37,7.16,0.0,0,assigned,46,37,7.16
21,0,{},False,37,84,29.48,completed,29,21,0.0,24.4917,16,completed,5,37,29.48
,,{},False,,68,0.0,released,41,38,7.05,0.0,0,pending,33,38,7.05
,,{},False,,93,0.0,released,20,38,2.95,0.0,0,pending,55,38,2.95
38,8,{8: 7.05},False,,68,0.0,assigned,41,38,7.05,0.0,0,assigned,33,38,7.05
38,9,{9: 2.95},False,,93,0.0,assigned,20,38,2.95,0.0,0,assigned,55,38,2.95
,,{},False,,119,0.0,released,51,39,25.86,0.0,0,pending,60,39,25.86
,,{},False,,107,0.0,released,53,39,6.74,0.0,0,pending,91,39,6.74
41,4,{4: 25.86},False,,119,0.0,assigned,51,39,25.86,0.0,0,assigned,60,41,25.86
,,{},False,,112,0.0,released,49,42,8.37,0.0,0,pending,13,42,8.37
38,8,{},False,42,68,7.05,completed,41,38,0.0,7.0374,4,completed,33,42,7.05
,,{},False,,88,0.0,released,27,44,10.64,0.0,0,pending,21,44,10.64
35,2,{},False,44,68,7.62,completed,36,35,0.0,14.872,9,completed,45,44,7.62
37,6,{},False,45,79,7.16,completed,59,37,0.0,12.4319,8,completed,46,45,7.16
,,{},False,,105,0.0,released,45,46,24.48,0.0,0,pending,4,46,24.48
32,3,{},False,46,74,24.83,completed,8,32,0.0,21.8236,14,completed,79,46,24.83
48,8,{8: 10.64},False,,88,0.0,assigned,27,44,10.64,0.0,0,assigned,21,48,10.64
24,5,{},False,49,89,4.34,completed,7,24,0.0,38.6982,25,completed,89,49,4.34
36,1,{},False,50,66,3.63,completed,8,36,0.0,21.8236,14,completed,63,50,3.63
,,{},False,,84,0.0,released,17,53,2.12,0.0,0,pending,41,53,2.12
53,7,{7: 8.37},False,,112,0.0,assigned,49,42,8.37,0.0,0,assigned,13,53,8.37
38,9,{},False,53,93,2.95,completed,20,38,0.0,22.5504,15,completed,55,53,2.95
55,6,{6: 24.48},False,,105,0.0,assigned,45,46,24.48,0.0,0,assigned,4,55,24.48
41,4,{},False,59,119,25.86,completed,51,39,0.0,27.4719,18,completed,60,59,25.86
,,{},False,,93,0.0,released,7,60,8.15,0.0,0,pending,22,60,8.15
48,8,{},False,61,88,10.64,completed,27,44,0.0,20.9847,13,completed,21,61,10.64
,,{},False,,141,0.0,released,22,66,28.94,0.0,0,pending,58,66,28.94
,,{},False,,118,0.0,released,8,67,19.67,0.0,0,pending,26,67,19.67
,,{},False,,97,0.0,released,58,67,11.5,0.0,0,pending,50,67,11.5
67,0,{0: 19.67},False,,118,0.0,assigned,8,67,19.67,0.0,0,assigned,26,67,19.67
53,7,{},False,67,112,8.37,completed,49,42,0.0,21.0316,14,completed,13,67,8.37
70,9,{9: 11.5},False,,97,0.0,assigned,58,67,11.5,0.0,0,assigned,50,70,11.5
55,6,{},False,70,105,24.48,completed,45,46,0.0,23.4493,15,completed,4,70,24.48
76,8,{8: 28.94},False,,141,0.0,assigned,22,66,28.94,0.0,0,assigned,58,76,28.94
,,{},False,,122,0.0,released,53,78,27.34,0.0,0,pending,37,78,27.34
,,{},False,,144,0.0,released,34,80,1.44,0.0,0,pending,6,80,1.44
80,2,{2: 1.44},False,,144,0.0,assigned,34,80,1.44,0.0,0,assigned,6,80,1.44
,,{},False,,131,0.0,released,45,81,25.61,0.0,0,pending,96,81,25.61
67,0,{},False,81,118,19.67,completed,8,67,0.0,21.8236,14,completed,26,81,19.67
,,{},False,85,84,0.0,expired,17,53,2.12,0.0,0,expired,41,85,2.12
70,9,{},False,86,97,11.5,completed,58,67,0.0,24.5995,16,completed,50,86,11.5
,,{},False,,158,0.0,released,29,90,17.22,0.0,0,pending,24,90,17.22
,,{},False,,133,0.0,released,37,90,11.69,0.0,0,pending,49,90,11.69
90,1,{1: 11.69},False,,133,0.0,assigned,37,90,11.69,0.0,0,assigned,49,90,11.69
80,2,{},False,93,144,1.44,completed,34,80,0.0,20.681,13,completed,6,93,1.44
,,{},False,94,93,0.0,expired,7,60,8.15,0.0,0,expired,22,94,8.15
76,8,{},False,94,141,28.94,completed,22,66,0.0,27.4309,18,completed,58,94,28.94
,,{},False,,126,0.0,released,10,95,13.95,0.0,0,pending,3,95,13.95
95,3,{3: 13.95},False,,126,0.0,assigned,10,95,13.95,0.0,0,assigned,3,95,13.95
90,1,{},False,96,133,11.69,completed,37,90,0.0,9.3428,6,completed,49,96,11.69
,,{},False,,133,0.0,released,31,97,24.31,0.0,0,pending,2,97,24.31
97,5,{5: 24.31},False,,133,0.0,assigned,31,97,24.31,0.0,0,assigned,2,97,24.31
,,{},False,,175,0.0,released,22,101,20.57,0.0,0,pending,20,101,20.57
101,4,{4: 25.61},False,,131,0.0,assigned,45,81,25.61,0.0,0,assigned,96,101,25.61
95,3,{},False,101,126,13.95,completed,10,95,0.0,10.4019,6,completed,3,101,13.95
,,{},False,,140,0.0,released,38,102,12.15,0.0,0,pending,76,102,12.15
,,{},False,,176,0.0,released,18,104,1.48,0.0,0,pending,47,104,1.48
104,7,{7: 1.48},False,,176,0.0,assigned,18,104,1.48,0.0,0,assigned,47,104,1.48
97,5,{},False,107,133,24.31,completed,31,97,0.0,16.189,10,completed,2,107,24.31
,,{},False,108,107,0.0,expired,53,39,6.74,0.0,0,expired,91,108,6.74
,,{},False,,162,0.0,released,50,109,8.49,0.0,0,pending,31,109,8.49
110,6,{6: 8.49},False,,162,0.0,assigned,50,109,8.49,0.0,0,assigned,31,110,8.49
104,7,{},False,110,176,1.48,completed,18,104,0.0,9.5995,6,completed,47,110,1.48
,,{},False,,144,0.0,released,58,114,12.9,0.0,0,pending,97,114,12.9
,,{},False,,157,0.0,released,35,115,23.58,0.0,0,pending,94,115,23.58
,,{},False,,174,0.0,released,5,117,9.38,0.0,0,pending,14,117,9.38
117,3,{3: 9.38},False,,174,0.0,assigned,5,117,9.38,0.0,0,assigned,14,117,9.38
101,4,{},False,119,131,25.61,completed,45,81,0.0,27.7528,18,completed,96,119,25.61
,,{},False,,194,0.0,released,17,122,21.43,0.0,0,pending,42,122,21.43
117,3,{},False,122,174,9.38,completed,5,117,0.0,8.6916,5,completed,14,122,9.38
,,{},False,,186,0.0,released,30,123,1.87,0.0,0,pending,8,123,1.87
,,{},False,123,122,0.0,expired,53,78,27.34,0.0,0,expired,37,123,27.34
,,{},False,,149,0.0,released,24,124,18.44,0.0,0,pending,34,124,18.44
124,9,{9: 18.44},False,,149,0.0,assigned,24,124,18.44,0.0,0,assigned,34,124,18.44
110,6,{},False,126,162,8.49,completed,50,109,0.0,24.1724,16,completed,31,126,8.49
,,{},False,,198,0.0,released,48,127,6.5,0.0,0,pending,38,127,6.5
128,1,{1: 6.5},False,,198,0.0,assigned,48,127,6.5,0.0,0,assigned,38,128,6.5
124,9,{},False,129,149,18.44,completed,24,124,0.0,8.3231,5,completed,34,129,18.44
128,1,{},False,130,198,6.5,completed,48,127,0.0,3.8116,2,completed,38,130,6.5
,,{},False,,182,0.0,released,25,131,22.12,0.0,0,pending,64,131,22.12
135,1,{1: 23.58},False,,157,0.0,assigned,35,115,23.58,0.0,0,assigned,94,135,23.58
,,{},False,,176,0.0,released,51,136,23.6,0.0,0,pending,88,136,23.6
136,4,{4: 1.87},False,,186,0.0,assigned,30,123,1.87,0.0,0,assigned,8,136,1.87
,,{},False,,218,0.0,released,52,138,29.16,0.0,0,pending,28,138,29.16
138,8,{8: 12.9},False,,144,0.0,assigned,58,114,12.9,0.0,0,assigned,97,138,12.9
,,{},False,141,140,0.0,expired,38,102,12.15,0.0,0,expired,76,141,12.15
,,{},False,,193,0.0,released,60,142,29.93,0.0,0,pending,12,142,29.93
,,{},False,,222,0.0,released,44,142,18.62,0.0,0,pending,84,142,18.62
,,{},False,,204,0.0,released,42,143,11.27,0.0,0,pending,85,143,11.27
138,8,{},False,145,144,0.0,expired,58,114,12.9,0.0,0,expired,97,145,12.9
135,1,{},False,147,157,23.58,completed,35,115,0.0,19.1415,12,completed,94,147,23.58
,,{},False,,197,0.0,released,2,148,2.94,0.0,0,pending,16,148,2.94
149,6,{6: 2.94},False,,197,0.0,assigned,2,148,2.94,0.0,0,assigned,16,149,2.94
,,{},False,,208,0.0,released,47,150,6.09,0.0,0,pending,44,150,6.09
136,4,{},False,151,186,1.87,completed,30,123,0.0,23.8082,15,completed,8,151,1.87
,,{},False,,188,0.0,released,13,154,20.67,0.0,0,pending,71,154,20.67
154,8,{8: 6.09},False,,208,0.0,assigned,47,150,6.09,0.0,0,assigned,44,154,6.09
